week,n_picks,wins,losses,win_pct,units,cume_wins,cume_losses,cume_units
1,5,2,3,40.0,-1.1216931216931214,2,3,-1.1216931216931214
2,4,3,1,75.0,1.649405679066696,5,4,0.5277125573735746
3,7,4,3,57.1,0.6201298701298703,9,7,1.147842427503445
4,6,4,2,66.7,1.5643704121964994,13,9,2.7122128396999443
5,7,5,2,71.4,2.5887445887445892,18,11,5.3009574284445335
6,7,4,3,57.1,0.5974391952652824,22,14,5.898396623709816
7,5,2,3,40.0,-1.2434514637904468,24,17,4.65494515991937
8,5,4,1,80.0,2.6531986531986536,28,18,7.308143813118024
9,5,5,0,100.0,4.727873977873978,33,18,12.036017790992002
10,6,2,4,33.3,-2.090909090909091,35,22,9.945108700082912
11,2,1,1,50.0,-0.019607843137254832,36,23,9.925500856945657
12,6,4,2,66.7,1.6201298701298703,40,25,11.545630727075528
13,7,6,1,85.7,4.629261805732394,46,26,16.174892532807924
14,4,2,2,50.0,-0.22661644695542993,48,28,15.948276085852495
15,4,3,1,75.0,1.8181818181818183,51,29,17.76645790403431
16,10,4,6,40.0,-2.402560804734718,55,35,15.363897099299594
17,9,4,5,44.4,-1.2889610389610389,59,40,14.074936060338555
18,8,4,4,50.0,-0.31974506974506944,63,44,13.755190990593485
