edge_decile,n,min_edge,max_edge,mean_edge,mean_confidence,accuracy,units,roi,accuracy_se
1,210,4.322572451480599e-05,0.002300990107361922,0.0011740897269545865,0.5014753851596752,0.49523809523809526,-9.79475359723448,-0.046641683796354666,0.03450171315712271
2,209,0.002309255513797825,0.004668085377396941,0.0034156457490094124,0.5025121120163519,0.5167464114832536,0.23343915397307535,0.0011169337510673462,0.03456631915071185
3,209,0.004676183135033901,0.007280376928001936,0.0059697241807235455,0.5055236177785744,0.4880382775119617,-11.540985979671454,-0.0552200286108682,0.034575824532206166
4,210,0.007281418315180371,0.01006660456055223,0.008596702858100085,0.5075023869865256,0.5142857142857142,-0.5402820601036623,-0.0025727717147793444,0.034489192121269566
5,209,0.01007114172550966,0.01259626078084751,0.011291798734777482,0.5084665358866423,0.5502392344497608,15.467255181522152,0.07400600565321604,0.03441069290539201
6,209,0.01260026007656207,0.015840057890262094,0.014217707572779055,0.5117239554280049,0.5454545454545454,12.399478637165076,0.059327648981651084,0.03444251047382193
7,210,0.015849369044475512,0.019653405039631814,0.017714518224315582,0.5159719361008959,0.5,-6.206701177326975,-0.029555719892033216,0.03450327796711771
8,209,0.01967569858839982,0.024035577369713915,0.021851885635188185,0.5181785923693444,0.5645933014354066,20.569627740818664,0.09841927148717064,0.03429590524818819
9,209,0.02404379910109834,0.03061216960826064,0.026921928858452068,0.5196775745961055,0.5550239234449761,18.51177080844746,0.0885730660691266,0.034375659565571176
10,210,0.030674496565885126,0.0693375151223988,0.03865306472979604,0.5295201706020451,0.5,-3.1166903533480688,-0.014841382634990803,0.03450327796711771
