column,dtype,pct_non_null,is_constant
abs_spread_line,float64,100.0,False
away_attempts_allowed_ewma,float64,99.5,False
away_attempts_allowed_roll5,float64,99.5,False
away_attempts_matchup_ewma,float64,95.2,False
away_attempts_matchup_roll5,float64,95.2,False
away_attempts_produced_ewma,float64,95.2,False
away_attempts_produced_roll5,float64,95.2,False
away_carries_allowed_ewma,float64,99.5,False
away_carries_allowed_roll5,float64,99.5,False
away_carries_matchup_ewma,float64,95.2,False
away_carries_matchup_roll5,float64,95.2,False
away_carries_produced_ewma,float64,95.2,False
away_carries_produced_roll5,float64,95.2,False
away_catch_rate_allowed_ewma,float64,99.5,False
away_catch_rate_allowed_roll5,float64,99.5,False
away_catch_rate_matchup_ewma,float64,95.2,False
away_catch_rate_matchup_roll5,float64,95.2,False
away_catch_rate_produced_ewma,float64,95.2,False
away_catch_rate_produced_roll5,float64,95.2,False
away_completion_pct_allowed_ewma,float64,99.5,False
away_completion_pct_allowed_roll5,float64,99.5,False
away_completion_pct_matchup_ewma,float64,95.2,False
away_completion_pct_matchup_roll5,float64,95.2,False
away_completion_pct_produced_ewma,float64,95.2,False
away_completion_pct_produced_roll5,float64,95.2,False
away_completions_allowed_ewma,float64,99.5,False
away_completions_allowed_roll5,float64,99.5,False
away_completions_matchup_ewma,float64,95.2,False
away_completions_matchup_roll5,float64,95.2,False
away_completions_produced_ewma,float64,95.2,False
away_completions_produced_roll5,float64,95.2,False
away_def_2pt_atts_allowed_ewma,float64,99.5,False
away_def_2pt_atts_allowed_roll5,float64,99.5,False
away_def_2pt_atts_matchup_ewma,float64,95.2,False
away_def_2pt_atts_matchup_roll5,float64,95.2,False
away_def_2pt_atts_produced_ewma,float64,95.2,False
away_def_2pt_atts_produced_roll5,float64,95.2,False
away_def_2pt_made_allowed_ewma,float64,99.5,False
away_def_2pt_made_allowed_roll5,float64,99.5,False
away_def_2pt_made_matchup_ewma,float64,95.2,False
away_def_2pt_made_matchup_roll5,float64,95.2,False
away_def_2pt_made_produced_ewma,float64,95.2,False
away_def_2pt_made_produced_roll5,float64,95.2,False
away_def_fg_blocks_allowed_ewma,float64,99.5,False
away_def_fg_blocks_allowed_roll5,float64,99.5,False
away_def_fg_blocks_matchup_ewma,float64,95.2,False
away_def_fg_blocks_matchup_roll5,float64,95.2,False
away_def_fg_blocks_produced_ewma,float64,95.2,False
away_def_fg_blocks_produced_roll5,float64,95.2,False
away_def_fumbles_allowed_ewma,float64,99.5,False
away_def_fumbles_allowed_roll5,float64,99.5,False
away_def_fumbles_forced_allowed_ewma,float64,99.5,False
away_def_fumbles_forced_allowed_roll5,float64,99.5,False
