game_id,home_team,away_team,spread_line,home_spread_odds,away_spread_odds,fetched_at
2026_01_NE_SEA,SEA,NE,3.5,-111.0,-111.0,2026-08-13T02:49:44.908401+00:00
2026_01_SF_LA,LA,SF,,,,2026-08-13T02:49:44.908401+00:00
2026_01_CHI_CAR,CAR,CHI,-2.5,106.0,-126.0,2026-08-13T02:49:44.908401+00:00
2026_01_TB_CIN,CIN,TB,3.5,-115.0,-115.0,2026-08-13T02:49:44.908401+00:00
2026_01_NO_DET,DET,NO,,,,2026-08-13T02:49:44.908401+00:00
2026_01_BUF_HOU,HOU,BUF,1.5,-111.0,-130.0,2026-08-13T02:49:44.908401+00:00
2026_01_BAL_IND,IND,BAL,-3.5,-125.0,-106.0,2026-08-13T02:49:44.908401+00:00
2026_01_CLE_JAX,JAX,CLE,7.5,-113.0,-117.0,2026-08-13T02:49:44.908401+00:00
2026_01_ATL_PIT,PIT,ATL,3.5,-199.0,-174.0,2026-08-13T02:49:44.908401+00:00
2026_01_NYJ_TEN,TEN,NYJ,2.5,-125.0,-113.0,2026-08-13T02:49:44.908401+00:00
2026_01_ARI_LAC,LAC,ARI,10.5,-102.0,-120.0,2026-08-13T02:49:44.908401+00:00
2026_01_MIA_LV,LV,MIA,3.5,-122.0,-108.0,2026-08-13T02:49:44.908401+00:00
2026_01_GB_MIN,MIN,GB,1.5,-150.0,-160.0,2026-08-13T02:49:44.908401+00:00
2026_01_WAS_PHI,PHI,WAS,5.5,-111.0,-127.0,2026-08-13T02:49:44.908401+00:00
2026_01_DAL_NYG,NYG,DAL,-2.5,104.0,-127.0,2026-08-13T02:49:44.908401+00:00
2026_01_DEN_KC,KC,DEN,2.5,-127.0,-111.0,2026-08-13T02:49:44.908401+00:00
