season,week,game_id,home_team,away_team,fav_home,spread,Spread Pick,Odds,Pick Home?,Pick Result
2023-24,2,2,Falcons,Packers,1,-1.5,Falcons,-110,1,0
2023-24,2,4,Lions,Seahawks,1,-4.5,Seahawks,-110,0,1
2023-24,2,6,Titans,Chargers,0,3,Titans,-110,1,1
2023-24,2,7,Colts,Texans,0,1.5,Colts,-110,1,1
2023-24,2,11,Cardinals,Giants,0,4.5,Cardinals,-110,1,1
2023-24,2,12,Cowboys,Jets,1,-9.5,Cowboys,-110,1,1
2023-24,2,14,Patriots,Dolphins,0,3,Patriots,-110,1,0
2023-24,3,1,49ers,Giants,1,-10.5,Giants,-110,0,0
2023-24,3,2,Browns,Titans,1,-3.5,Browns,-110,1,1
2023-24,3,4,Jets,Patriots,0,2.5,Jets,-110,1,0
2023-24,3,6,Jaguars,Texans,1,-8.5,Texans,-110,0,1
2023-24,3,7,Ravens,Colts,1,-8.5,Ravens,-110,1,0
2023-24,3,14,Raiders,Steelers,1,-2.5,Steelers,-110,0,1
2023-24,3,16,Bengals,Rams,1,-1.5,Rams,-110,0,0
2023-24,4,1,Packers,Lions,0,1.5,Lions,-110,0,1
2023-24,4,3,Bills,Dolphins,1,-3,Bills,-110,1,1
2023-24,4,4,Texans,Steelers,0,3,Texans,-110,1,1
2023-24,4,5,Colts,Rams,1,-1.5,Rams,-110,0,1
2023-24,4,6,Panthers,Vikings,0,4,Panthers,-110,1,0
2023-24,4,11,Titans,Bengals,0,2.5,Titans,-110,1,1
2023-24,4,12,Chargers,Raiders,1,-5.5,Chargers,-110,1,1
2023-24,5,4,Colts,Titans,0,2.5,Colts,-110,1,1
2023-24,5,5,Patriots,Saints,0,1,Patriots,-110,1,0
2023-24,5,6,Steelers,Ravens,0,4.5,Ravens,-110,0,0
2023-24,5,7,Falcons,Texans,1,-1.5,Texans,-110,0,0
2023-24,5,9,Cardinals,Bengals,0,3,Cardinals,-110,1,0
2023-24,5,12,Broncos,Jets,1,-2,Jets,-110,0,1
2023-24,5,13,49ers,Cowboys,1,-3.5,49ers,-110,1,1
2023-24,5,14,Raiders,Packers,1,-1.5,Packers,-110,0,0
2023-24,6,1,Chiefs,Broncos,1,-10.5,Chiefs,-110,1,1
2023-24,6,2,Titans,Ravens,0,4,Ravens,-110,0,1
2023-24,6,4,Falcons,Commanders,1,-2.5,Commanders,-110,0,1
2023-24,6,5,Dolphins,Panthers,1,-13.5,Dolphins,-110,1,1
2023-24,6,10,Raiders,Patriots,1,-2.5,Patriots,-110,0,0
2023-24,6,11,Buccaneers,Lions,0,3,Lions,-110,0,1
2023-24,6,14,Bills,Giants,1,-14.5,Bills,-110,1,0
2023-24,7,3,Giants,Commanders,0,3,Giants,-110,1,1
2023-24,7,4,Colts,Browns,0,3,Colts,-110,1,1
2023-24,7,5,Ravens,Lions,1,-3,Ravens,-110,1,1
